Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 16:09:40,2018-05-04 16:10:00,20.801s,FAILED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 16:09:40,2018-05-04 16:09:57,17.362s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 16:09:40,2018-05-04 16:09:48,8.129s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:09:48,2018-05-04 16:09:49,0.698s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:09:49,2018-05-04 16:09:49,0.133s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 16:09:49,2018-05-04 16:09:49,0.102s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:09:49,2018-05-04 16:09:49,0.077s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:09:49,2018-05-04 16:09:51,2.020s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:09:51,2018-05-04 16:09:52,0.025s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:09:52,2018-05-04 16:09:52,0.086s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 16:09:52,2018-05-04 16:09:52,0.084s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:09:52,2018-05-04 16:09:52,0.047s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 16:09:52,2018-05-04 16:09:54,1.994s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:09:54,2018-05-04 16:09:56,2.002s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:09:56,2018-05-04 16:09:56,0.017s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:09:56,2018-05-04 16:09:57,1.651s,PASSED
,,,,,,
"Test Cases/login/login_ID, PW search",Chrome 66.0.3359.139,,2018-05-04 16:09:57,2018-05-04 16:10:00,2.347s,FAILED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 16:09:58,2018-05-04 16:09:58,0.667s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:09:58,2018-05-04 16:09:59,0.830s,PASSED
click,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uCC3E\uAE30,2018-05-04 16:09:59,2018-05-04 16:10:00,0.462s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uB984\uC785\uB825,2018-05-04 16:10:00,2018-05-04 16:10:00,0.097s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC785\uB825,2018-05-04 16:10:00,2018-05-04 16:10:00,0.114s,PASSED
verifyMatch,Chrome 66.0.3359.139,ID hwanta \uD655\uC778,2018-05-04 16:10:00,2018-05-04 16:10:00,0.010s,FAILED
