Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,,,2018-03-09 16:35:37,2018-03-09 16:35:44,6.870s,FAILED
,,,,,,
Test Cases/login,,,2018-03-09 16:35:37,2018-03-09 16:35:42,4.610s,FAILED
openBrowser,,,2018-03-09 16:35:38,2018-03-09 16:35:42,3.987s,FAILED
setText,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.040s,FAILED
setText,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.015s,FAILED
click,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.026s,FAILED
,,,,,,
Test Cases/base,,,2018-03-09 16:35:42,2018-03-09 16:35:43,0.513s,FAILED
click,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.037s,FAILED
setText,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.019s,FAILED
setText,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.021s,FAILED
setText,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.017s,FAILED
click,,,2018-03-09 16:35:42,2018-03-09 16:35:42,0.014s,FAILED
,,,,,,
Test Cases/goods,,,2018-03-09 16:35:43,2018-03-09 16:35:43,0.520s,FAILED
click,,,2018-03-09 16:35:43,2018-03-09 16:35:43,0.009s,FAILED
click,,,2018-03-09 16:35:43,2018-03-09 16:35:43,0.005s,FAILED
