Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 65.0.3325.181,,2018-03-26 17:13:23,2018-03-26 17:13:48,24.937s,FAILED
,,,,,,
Test Cases/login,Chrome 65.0.3325.181,,2018-03-26 17:13:23,2018-03-26 17:13:37,13.828s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 17:13:24,2018-03-26 17:13:36,12.715s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:13:36,2018-03-26 17:13:37,0.463s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:13:37,2018-03-26 17:13:37,0.169s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:13:37,2018-03-26 17:13:37,0.183s,PASSED
,,,,,,
Test Cases/base,Chrome 65.0.3325.181,,2018-03-26 17:13:37,2018-03-26 17:13:46,8.563s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 17:13:37,2018-03-26 17:13:44,6.930s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:13:44,2018-03-26 17:13:45,0.373s,FAILED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:13:45,2018-03-26 17:13:45,0.315s,FAILED
setText,Chrome 65.0.3325.181,,2018-03-26 17:13:45,2018-03-26 17:13:45,0.155s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:13:45,2018-03-26 17:13:45,0.193s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:13:45,2018-03-26 17:13:45,0.114s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:13:45,2018-03-26 17:13:46,0.175s,PASSED
waitForElementNotPresent,Chrome 65.0.3325.181,,2018-03-26 17:13:46,2018-03-26 17:13:46,0.077s,PASSED
verifyEqual,Chrome 65.0.3325.181,,2018-03-26 17:13:46,2018-03-26 17:13:46,0.036s,PASSED
,,,,,,
Test Cases/goods,Chrome 65.0.3325.181,,2018-03-26 17:13:46,2018-03-26 17:13:47,1.006s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 17:13:46,2018-03-26 17:13:46,0.429s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 17:13:46,2018-03-26 17:13:47,0.424s,FAILED
