Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:57:17,2018-03-09 16:57:44,26.385s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 16:57:18,2018-03-09 16:57:29,11.204s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:57:18,2018-03-09 16:57:28,10.268s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:57:28,2018-03-09 16:57:29,0.315s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:57:29,2018-03-09 16:57:29,0.171s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:29,2018-03-09 16:57:29,0.125s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 16:57:29,2018-03-09 16:57:39,10.297s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:29,2018-03-09 16:57:36,6.843s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:57:36,2018-03-09 16:57:36,0.399s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:57:36,2018-03-09 16:57:37,0.233s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:57:37,2018-03-09 16:57:37,0.146s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:37,2018-03-09 16:57:37,0.246s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:37,2018-03-09 16:57:38,0.669s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:38,2018-03-09 16:57:39,1.005s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:39,2018-03-09 16:57:39,0.317s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:39,2018-03-09 16:57:39,0.265s,FAILED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 16:57:39,2018-03-09 16:57:42,3.251s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:39,2018-03-09 16:57:40,0.973s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:57:40,2018-03-09 16:57:42,2.141s,PASSED
