Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 63.0.3239.132,,2018-02-08 16:20:29,2018-02-08 16:20:50,20.337s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 16:20:30,2018-02-08 16:20:41,11.214s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 16:20:31,2018-02-08 16:20:40,9.378s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:20:40,2018-02-08 16:20:40,0.309s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:20:40,2018-02-08 16:20:40,0.149s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:20:40,2018-02-08 16:20:40,0.133s,PASSED
acceptAlert,Chrome 63.0.3239.132,,2018-02-08 16:20:40,2018-02-08 16:20:41,0.788s,FAILED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 16:20:41,2018-02-08 16:20:48,6.498s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:20:42,2018-02-08 16:20:46,4.677s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:20:46,2018-02-08 16:20:47,0.708s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:20:47,2018-02-08 16:20:47,0.339s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:20:47,2018-02-08 16:20:47,0.166s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:20:47,2018-02-08 16:20:48,0.363s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 16:20:48,2018-02-08 16:20:49,1.046s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 16:20:48,2018-02-08 16:20:48,0.440s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 16:20:48,2018-02-08 16:20:49,0.381s,FAILED
