Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 63.0.3239.132,,2018-02-08 17:09:33,2018-02-08 17:09:54,21.620s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 17:09:33,2018-02-08 17:09:45,11.547s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 17:09:33,2018-02-08 17:09:44,10.436s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:44,2018-02-08 17:09:44,0.228s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:44,2018-02-08 17:09:44,0.344s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:44,2018-02-08 17:09:45,0.229s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 17:09:45,2018-02-08 17:09:52,7.511s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:45,2018-02-08 17:09:51,6.496s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:51,2018-02-08 17:09:52,0.337s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:52,2018-02-08 17:09:52,0.214s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:52,2018-02-08 17:09:52,0.139s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:52,2018-02-08 17:09:52,0.150s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 17:09:52,2018-02-08 17:09:53,1.006s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:52,2018-02-08 17:09:53,0.530s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:53,2018-02-08 17:09:53,0.345s,FAILED
