Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 63.0.3239.132,,2018-02-08 16:03:20,2018-02-08 16:03:41,21.635s,PASSED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 16:03:20,2018-02-08 16:03:32,12.080s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 16:03:20,2018-02-08 16:03:31,10.814s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:03:31,2018-02-08 16:03:32,0.487s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:03:32,2018-02-08 16:03:32,0.202s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:03:32,2018-02-08 16:03:32,0.269s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 16:03:32,2018-02-08 16:03:40,7.993s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:03:32,2018-02-08 16:03:39,6.795s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:03:39,2018-02-08 16:03:40,0.388s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:03:40,2018-02-08 16:03:40,0.321s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:03:40,2018-02-08 16:03:40,0.121s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:03:40,2018-02-08 16:03:40,0.187s,PASSED
