Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 11:49:57,2018-05-04 11:50:10,13.973s,PASSED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 11:49:57,2018-05-04 11:50:08,10.953s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 11:49:57,2018-05-04 11:49:59,1.758s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 11:49:59,2018-05-04 11:50:00,0.883s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 11:50:00,2018-05-04 11:50:00,0.137s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 11:50:00,2018-05-04 11:50:00,0.095s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 11:50:00,2018-05-04 11:50:00,0.076s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 11:50:00,2018-05-04 11:50:03,3.017s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 11:50:03,2018-05-04 11:50:03,0.021s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 11:50:03,2018-05-04 11:50:03,0.080s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 11:50:03,2018-05-04 11:50:03,0.076s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 11:50:03,2018-05-04 11:50:03,0.050s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 11:50:03,2018-05-04 11:50:05,1.460s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 11:50:05,2018-05-04 11:50:08,3.002s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 11:50:08,2018-05-04 11:50:08,0.018s,PASSED
,,,,,,
Test Cases/login/login_valid,Chrome 66.0.3359.139,,2018-05-04 11:50:08,2018-05-04 11:50:10,2.650s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 11:50:08,2018-05-04 11:50:09,1.334s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 11:50:09,2018-05-04 11:50:10,0.901s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 11:50:10,2018-05-04 11:50:10,0.098s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 11:50:10,2018-05-04 11:50:10,0.097s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 11:50:10,2018-05-04 11:50:10,0.067s,PASSED
