Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:47:39,2018-03-09 16:48:09,29.703s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 16:47:40,2018-03-09 16:47:57,16.639s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:47:41,2018-03-09 16:47:56,15.009s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:47:56,2018-03-09 16:47:56,0.475s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:47:56,2018-03-09 16:47:57,0.382s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:47:57,2018-03-09 16:47:57,0.315s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 16:47:57,2018-03-09 16:48:08,11.126s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:47:57,2018-03-09 16:48:05,7.972s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:48:05,2018-03-09 16:48:06,0.509s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:48:06,2018-03-09 16:48:06,0.291s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:48:06,2018-03-09 16:48:06,0.339s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:48:06,2018-03-09 16:48:07,0.314s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:48:07,2018-03-09 16:48:07,0.575s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:48:07,2018-03-09 16:48:08,0.495s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:48:08,2018-03-09 16:48:08,0.404s,FAILED
