Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:28:54,2018-03-09 16:29:16,22.150s,FAILED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 16:28:55,2018-03-09 16:29:16,21.738s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:28:55,2018-03-09 16:28:56,0.675s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:28:56,2018-03-09 16:29:01,5.945s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-09 16:29:01,2018-03-09 16:29:04,2.847s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:29:04,2018-03-09 16:29:05,0.225s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:29:05,2018-03-09 16:29:05,0.153s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-09 16:29:05,2018-03-09 16:29:05,0.080s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:29:05,2018-03-09 16:29:12,7.413s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:29:12,2018-03-09 16:29:13,0.832s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:29:13,2018-03-09 16:29:15,2.322s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-09 16:29:15,2018-03-09 16:29:16,0.856s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:29:16,2018-03-09 16:29:16,0.023s,FAILED
