Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 63.0.3239.132,,2018-02-08 16:11:50,2018-02-08 16:12:12,21.748s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 16:11:50,2018-02-08 16:12:02,11.486s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 16:11:51,2018-02-08 16:12:01,10.484s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:12:01,2018-02-08 16:12:02,0.253s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:12:02,2018-02-08 16:12:02,0.187s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:12:02,2018-02-08 16:12:02,0.146s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 16:12:02,2018-02-08 16:12:10,7.795s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:12:02,2018-02-08 16:12:08,6.431s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:12:08,2018-02-08 16:12:09,0.455s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:12:09,2018-02-08 16:12:09,0.424s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:12:09,2018-02-08 16:12:10,0.142s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:12:10,2018-02-08 16:12:10,0.164s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 16:12:10,2018-02-08 16:12:11,1.013s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 16:12:10,2018-02-08 16:12:10,0.522s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 16:12:10,2018-02-08 16:12:11,0.349s,FAILED
