Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 63.0.3239.132,,2018-02-08 17:08:55,2018-02-08 17:09:22,27.245s,PASSED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 17:08:55,2018-02-08 17:09:06,11.321s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 17:08:56,2018-02-08 17:09:06,10.150s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:06,2018-02-08 17:09:06,0.333s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:06,2018-02-08 17:09:06,0.221s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:06,2018-02-08 17:09:06,0.148s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 17:09:06,2018-02-08 17:09:18,11.135s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:07,2018-02-08 17:09:14,6.958s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:14,2018-02-08 17:09:18,4.037s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 17:09:18,2018-02-08 17:09:21,3.274s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:18,2018-02-08 17:09:20,2.117s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:20,2018-02-08 17:09:20,0.338s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:20,2018-02-08 17:09:20,0.289s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:09:20,2018-02-08 17:09:21,0.165s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:09:21,2018-02-08 17:09:21,0.209s,PASSED
