Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 65.0.3325.181,,2018-03-26 16:50:07,2018-03-26 16:50:36,28.753s,FAILED
,,,,,,
Test Cases/login,Chrome 65.0.3325.181,,2018-03-26 16:50:07,2018-03-26 16:50:23,15.982s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 16:50:08,2018-03-26 16:50:22,14.037s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 16:50:22,2018-03-26 16:50:23,0.770s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 16:50:23,2018-03-26 16:50:23,0.378s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 16:50:23,2018-03-26 16:50:23,0.271s,PASSED
,,,,,,
Test Cases/base,Chrome 65.0.3325.181,,2018-03-26 16:50:23,2018-03-26 16:50:34,10.462s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 16:50:23,2018-03-26 16:50:31,7.957s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 16:50:31,2018-03-26 16:50:32,0.839s,FAILED
setText,Chrome 65.0.3325.181,,2018-03-26 16:50:32,2018-03-26 16:50:33,0.563s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 16:50:33,2018-03-26 16:50:33,0.395s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 16:50:33,2018-03-26 16:50:33,0.169s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 16:50:33,2018-03-26 16:50:34,0.166s,PASSED
waitForElementNotPresent,Chrome 65.0.3325.181,,2018-03-26 16:50:34,2018-03-26 16:50:34,0.119s,PASSED
verifyEqual,Chrome 65.0.3325.181,,2018-03-26 16:50:34,2018-03-26 16:50:34,0.038s,PASSED
,,,,,,
Test Cases/goods,Chrome 65.0.3325.181,,2018-03-26 16:50:34,2018-03-26 16:50:35,0.905s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 16:50:34,2018-03-26 16:50:34,0.375s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 16:50:34,2018-03-26 16:50:35,0.326s,FAILED
