Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 65.0.3325.181,,2018-03-26 15:42:42,2018-03-26 15:43:14,31.411s,FAILED
,,,,,,
Test Cases/login,Chrome 65.0.3325.181,,2018-03-26 15:42:43,2018-03-26 15:43:00,16.941s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 15:42:43,2018-03-26 15:42:59,16.031s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 15:42:59,2018-03-26 15:42:59,0.340s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 15:42:59,2018-03-26 15:43:00,0.151s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 15:43:00,2018-03-26 15:43:00,0.129s,PASSED
,,,,,,
Test Cases/base,Chrome 65.0.3325.181,,2018-03-26 15:43:00,2018-03-26 15:43:09,9.312s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 15:43:00,2018-03-26 15:43:08,8.454s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 15:43:08,2018-03-26 15:43:09,0.622s,FAILED
Statement - For (def index : (4..6)),Chrome 65.0.3325.181,,2018-03-26 15:43:09,2018-03-26 15:43:09,0.015s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 15:43:09,2018-03-26 15:43:09,0.029s,PASSED
,,,,,,
Test Cases/goods,Chrome 65.0.3325.181,,2018-03-26 15:43:09,2018-03-26 15:43:13,3.882s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 15:43:09,2018-03-26 15:43:10,1.231s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 15:43:10,2018-03-26 15:43:13,2.497s,PASSED
