Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,,,2018-03-09 16:36:40,2018-03-09 16:36:45,4.656s,FAILED
,,,,,,
Test Cases/login,,,2018-03-09 16:36:40,2018-03-09 16:36:43,2.770s,FAILED
openBrowser,,,2018-03-09 16:36:41,2018-03-09 16:36:43,2.342s,FAILED
setText,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.044s,FAILED
setText,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.017s,FAILED
click,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.025s,FAILED
,,,,,,
Test Cases/base,,,2018-03-09 16:36:43,2018-03-09 16:36:44,0.499s,FAILED
click,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.015s,FAILED
setText,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.011s,FAILED
setText,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.015s,FAILED
setText,,,2018-03-09 16:36:43,2018-03-09 16:36:43,0.005s,FAILED
click,,,2018-03-09 16:36:43,2018-03-09 16:36:44,0.155s,FAILED
,,,,,,
Test Cases/goods,,,2018-03-09 16:36:44,2018-03-09 16:36:44,0.447s,FAILED
click,,,2018-03-09 16:36:44,2018-03-09 16:36:44,0.008s,FAILED
click,,,2018-03-09 16:36:44,2018-03-09 16:36:44,0.004s,FAILED
