Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 16:06:49,2018-05-04 16:07:09,20.589s,FAILED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 16:06:49,2018-05-04 16:07:06,17.247s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 16:06:49,2018-05-04 16:06:57,8.240s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:06:57,2018-05-04 16:06:58,0.693s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:06:58,2018-05-04 16:06:58,0.132s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 16:06:58,2018-05-04 16:06:58,0.095s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:06:58,2018-05-04 16:06:58,0.077s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:06:58,2018-05-04 16:07:00,2.020s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:07:00,2018-05-04 16:07:00,0.026s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:07:00,2018-05-04 16:07:01,0.095s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 16:07:01,2018-05-04 16:07:01,0.076s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:07:01,2018-05-04 16:07:01,0.057s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 16:07:01,2018-05-04 16:07:03,1.862s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:07:03,2018-05-04 16:07:05,2.002s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:07:05,2018-05-04 16:07:05,0.012s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:07:05,2018-05-04 16:07:06,1.572s,PASSED
,,,,,,
"Test Cases/login/login_ID, PW search",Chrome 66.0.3359.139,,2018-05-04 16:07:06,2018-05-04 16:07:08,2.314s,FAILED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 16:07:06,2018-05-04 16:07:07,0.670s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:07:07,2018-05-04 16:07:08,0.832s,PASSED
click,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uCC3E\uAE30,2018-05-04 16:07:08,2018-05-04 16:07:08,0.399s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uB984\uC785\uB825,2018-05-04 16:07:08,2018-05-04 16:07:08,0.095s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC785\uB825,2018-05-04 16:07:08,2018-05-04 16:07:08,0.124s,PASSED
verifyMatch,Chrome 66.0.3359.139,ID hwanta \uD655\uC778,2018-05-04 16:07:08,2018-05-04 16:07:08,0.013s,FAILED
