Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
data,,,2018-03-26 16:48:10,2018-03-26 16:48:13,3.322s,FAILED
,,,,,,
Test Cases/base,,,2018-03-26 16:48:10,2018-03-26 16:48:13,2.512s,FAILED
click,,,2018-03-26 16:48:11,2018-03-26 16:48:12,1.609s,FAILED
acceptAlert,,,2018-03-26 16:48:12,2018-03-26 16:48:12,0.018s,FAILED
setText,,,2018-03-26 16:48:12,2018-03-26 16:48:12,0.038s,FAILED
setText,,,2018-03-26 16:48:12,2018-03-26 16:48:12,0.020s,FAILED
setText,,,2018-03-26 16:48:12,2018-03-26 16:48:12,0.048s,FAILED
click,,,2018-03-26 16:48:12,2018-03-26 16:48:13,0.072s,FAILED
waitForElementNotPresent,,,2018-03-26 16:48:13,2018-03-26 16:48:13,0.157s,FAILED
verifyEqual,,,2018-03-26 16:48:13,2018-03-26 16:48:13,0.183s,FAILED
