Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 63.0.3239.132,,2018-02-08 15:47:50,2018-02-08 15:48:04,14.575s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 15:47:50,2018-02-08 15:48:03,13.019s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 15:47:51,2018-02-08 15:48:02,11.758s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 15:48:02,2018-02-08 15:48:03,0.382s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 15:48:03,2018-02-08 15:48:03,0.168s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 15:48:03,2018-02-08 15:48:03,0.248s,PASSED
verifyTextPresent,Chrome 63.0.3239.132,,2018-02-08 15:48:03,2018-02-08 15:48:03,0.097s,FAILED
