Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,,,2018-03-09 16:36:57,2018-03-09 16:37:19,22.418s,FAILED
,,,,,,
Test Cases/login,,,2018-03-09 16:36:57,2018-03-09 16:37:18,21.095s,FAILED
openBrowser,,,2018-03-09 16:36:57,2018-03-09 16:37:18,20.663s,FAILED
setText,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.068s,FAILED
setText,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.016s,FAILED
click,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.028s,FAILED
,,,,,,
Test Cases/base,,,2018-03-09 16:37:18,2018-03-09 16:37:19,0.366s,FAILED
click,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.010s,FAILED
setText,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.016s,FAILED
setText,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.007s,FAILED
setText,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.010s,FAILED
click,,,2018-03-09 16:37:18,2018-03-09 16:37:18,0.009s,FAILED
,,,,,,
Test Cases/goods,,,2018-03-09 16:37:19,2018-03-09 16:37:19,0.202s,FAILED
click,,,2018-03-09 16:37:19,2018-03-09 16:37:19,0.025s,FAILED
click,,,2018-03-09 16:37:19,2018-03-09 16:37:19,0.009s,FAILED
