Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 17:20:06,2018-05-04 17:20:35,28.222s,FAILED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 17:20:07,2018-05-04 17:20:26,18.798s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 17:20:07,2018-05-04 17:20:14,6.702s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:14,2018-05-04 17:20:15,1.220s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 17:20:15,2018-05-04 17:20:15,0.148s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 17:20:15,2018-05-04 17:20:15,0.097s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:15,2018-05-04 17:20:15,0.079s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:20:15,2018-05-04 17:20:17,2.019s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:20:17,2018-05-04 17:20:17,0.025s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 17:20:17,2018-05-04 17:20:17,0.138s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 17:20:17,2018-05-04 17:20:18,0.167s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:18,2018-05-04 17:20:18,0.062s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 17:20:18,2018-05-04 17:20:20,2.726s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:20:20,2018-05-04 17:20:22,2.001s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:20:22,2018-05-04 17:20:22,0.011s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:22,2018-05-04 17:20:26,3.161s,PASSED
,,,,,,
Test Cases/login/login_Password search,Chrome 66.0.3359.139,,2018-05-04 17:20:26,2018-05-04 17:20:34,8.338s,FAILED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 17:20:26,2018-05-04 17:20:27,0.794s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:27,2018-05-04 17:20:27,0.820s,PASSED
click,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uCC3E\uAE30,2018-05-04 17:20:27,2018-05-04 17:20:28,0.848s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uB984\uC785\uB825,2018-05-04 17:20:28,2018-05-04 17:20:28,0.103s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:20:28,2018-05-04 17:20:28,0.089s,PASSED
click,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC778\uC99D \uCCB4\uD06C,2018-05-04 17:20:28,2018-05-04 17:20:29,0.589s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:20:29,2018-05-04 17:20:29,0.084s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:20:29,2018-05-04 17:20:31,2.003s,PASSED
Statement - alert = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 66.0.3359.139,,2018-05-04 17:20:31,2018-05-04 17:20:31,0.047s,PASSED
verifyMatch,Chrome 66.0.3359.139,alert \uBA54\uC77C\uBC1C\uC1A1 \uBA54\uC138\uC9C0 \uD655\uC778,2018-05-04 17:20:31,2018-05-04 17:20:31,0.000s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:20:31,2018-05-04 17:20:31,0.029s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:20:31,2018-05-04 17:20:32,0.634s,PASSED
click,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC778\uC99D \uCCB4\uD06C,2018-05-04 17:20:32,2018-05-04 17:20:32,0.101s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:20:32,2018-05-04 17:20:32,0.053s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:20:32,2018-05-04 17:20:34,2.002s,PASSED
verifyMatch,Chrome 66.0.3359.139,alert sms\uBC1C\uC1A1 \uBA54\uC138\uC9C0 \uD655\uC778,2018-05-04 17:20:34,2018-05-04 17:20:34,0.005s,FAILED
