Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:52:37,2018-03-09 16:53:03,25.910s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 16:52:37,2018-03-09 16:52:51,13.932s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:52:38,2018-03-09 16:52:50,12.346s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:52:50,2018-03-09 16:52:51,0.591s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:52:51,2018-03-09 16:52:51,0.319s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:52:51,2018-03-09 16:52:51,0.229s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 16:52:51,2018-03-09 16:53:02,10.394s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:52:52,2018-03-09 16:52:57,5.615s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:52:57,2018-03-09 16:52:58,0.340s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:52:58,2018-03-09 16:52:58,0.245s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:52:58,2018-03-09 16:52:58,0.180s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:52:58,2018-03-09 16:52:58,0.373s,PASSED
waitForAlert,Chrome 64.0.3282.186,,2018-03-09 16:52:58,2018-03-09 16:53:01,2.106s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:53:01,2018-03-09 16:53:01,0.385s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:53:01,2018-03-09 16:53:01,0.350s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:53:01,2018-03-09 16:53:02,0.364s,FAILED
