Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 63.0.3239.132,,2018-02-08 16:09:51,2018-02-08 16:10:17,26.272s,FAILED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 16:09:51,2018-02-08 16:10:04,12.930s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 16:09:52,2018-02-08 16:10:03,11.598s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:10:03,2018-02-08 16:10:04,0.377s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:10:04,2018-02-08 16:10:04,0.257s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:10:04,2018-02-08 16:10:04,0.387s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 16:10:04,2018-02-08 16:10:15,10.639s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:10:05,2018-02-08 16:10:14,9.335s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:10:14,2018-02-08 16:10:14,0.412s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:10:14,2018-02-08 16:10:15,0.243s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 16:10:15,2018-02-08 16:10:15,0.131s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 16:10:15,2018-02-08 16:10:15,0.190s,PASSED
,,,,,,
Test Cases/goods,Chrome 63.0.3239.132,,2018-02-08 16:10:15,2018-02-08 16:10:16,0.800s,FAILED
click,Chrome 63.0.3239.132,,2018-02-08 16:10:15,2018-02-08 16:10:16,0.625s,FAILED
