Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 65.0.3325.181,,2018-03-26 17:40:43,2018-03-26 17:41:15,32.545s,FAILED
,,,,,,
Test Cases/login,Chrome 65.0.3325.181,,2018-03-26 17:40:43,2018-03-26 17:40:59,15.374s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 17:40:44,2018-03-26 17:40:58,14.446s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:40:58,2018-03-26 17:40:59,0.247s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:40:59,2018-03-26 17:40:59,0.136s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:40:59,2018-03-26 17:40:59,0.142s,PASSED
,,,,,,
Test Cases/base,Chrome 65.0.3325.181,,2018-03-26 17:40:59,2018-03-26 17:41:14,15.649s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 17:40:59,2018-03-26 17:41:10,10.671s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:41:10,2018-03-26 17:41:10,0.634s,FAILED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:41:10,2018-03-26 17:41:11,0.278s,FAILED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:11,2018-03-26 17:41:11,0.365s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:11,2018-03-26 17:41:11,0.355s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:11,2018-03-26 17:41:11,0.133s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:11,2018-03-26 17:41:12,0.164s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:12,2018-03-26 17:41:12,0.188s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:12,2018-03-26 17:41:12,0.271s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:12,2018-03-26 17:41:12,0.236s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:12,2018-03-26 17:41:12,0.144s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:12,2018-03-26 17:41:13,0.345s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:13,2018-03-26 17:41:13,0.276s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:13,2018-03-26 17:41:13,0.361s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:41:13,2018-03-26 17:41:13,0.073s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:41:13,2018-03-26 17:41:14,0.067s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.159s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.155s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.103s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.347s,FAILED
waitForElementNotPresent,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.114s,PASSED
verifyEqual,Chrome 65.0.3325.181,,2018-03-26 17:41:14,2018-03-26 17:41:14,0.036s,PASSED
