Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:55:11,2018-03-09 16:55:40,28.913s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 16:55:12,2018-03-09 16:55:24,12.305s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:55:12,2018-03-09 16:55:23,11.182s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:55:23,2018-03-09 16:55:24,0.393s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:55:24,2018-03-09 16:55:24,0.159s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:24,2018-03-09 16:55:24,0.160s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 16:55:24,2018-03-09 16:55:39,15.135s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:24,2018-03-09 16:55:33,8.209s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:55:33,2018-03-09 16:55:33,0.391s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:55:33,2018-03-09 16:55:33,0.289s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:55:33,2018-03-09 16:55:33,0.171s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:33,2018-03-09 16:55:34,0.172s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:34,2018-03-09 16:55:34,0.589s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:34,2018-03-09 16:55:35,1.029s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:35,2018-03-09 16:55:36,1.006s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:55:36,2018-03-09 16:55:39,2.991s,PASSED
