Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 17:23:07,2018-05-04 17:23:33,26.405s,PASSED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 17:23:07,2018-05-04 17:23:25,17.492s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 17:23:07,2018-05-04 17:23:15,7.065s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:15,2018-05-04 17:23:16,1.447s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 17:23:16,2018-05-04 17:23:16,0.183s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 17:23:16,2018-05-04 17:23:16,0.133s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:16,2018-05-04 17:23:16,0.092s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:23:16,2018-05-04 17:23:18,2.023s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:23:18,2018-05-04 17:23:18,0.044s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 17:23:18,2018-05-04 17:23:19,0.194s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 17:23:19,2018-05-04 17:23:19,0.154s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:19,2018-05-04 17:23:19,0.068s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 17:23:19,2018-05-04 17:23:20,1.543s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:23:20,2018-05-04 17:23:22,2.001s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:23:22,2018-05-04 17:23:22,0.016s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:22,2018-05-04 17:23:25,2.175s,PASSED
,,,,,,
Test Cases/login/login_Password search,Chrome 66.0.3359.139,,2018-05-04 17:23:25,2018-05-04 17:23:32,7.802s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 17:23:25,2018-05-04 17:23:26,0.771s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:26,2018-05-04 17:23:26,0.401s,PASSED
click,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uCC3E\uAE30,2018-05-04 17:23:26,2018-05-04 17:23:26,0.450s,PASSED
setText,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uC785\uB825,2018-05-04 17:23:26,2018-05-04 17:23:27,0.105s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:23:27,2018-05-04 17:23:27,0.094s,PASSED
click,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC778\uC99D \uCCB4\uD06C,2018-05-04 17:23:27,2018-05-04 17:23:27,0.641s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:23:27,2018-05-04 17:23:27,0.077s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:23:27,2018-05-04 17:23:29,2.001s,PASSED
Statement - alert = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 66.0.3359.139,,2018-05-04 17:23:29,2018-05-04 17:23:29,0.032s,PASSED
verifyMatch,Chrome 66.0.3359.139,alert \uBA54\uC77C\uBC1C\uC1A1 \uBA54\uC138\uC9C0 \uD655\uC778,2018-05-04 17:23:29,2018-05-04 17:23:29,0.007s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:23:29,2018-05-04 17:23:29,0.020s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 17:23:29,2018-05-04 17:23:30,0.803s,PASSED
click,Chrome 66.0.3359.139,sms \uC778\uC99D \uCCB4\uD06C,2018-05-04 17:23:30,2018-05-04 17:23:30,0.096s,PASSED
click,Chrome 66.0.3359.139,\uB2E4\uC74C\uBC84\uD2BC \uD074\uB9AD,2018-05-04 17:23:30,2018-05-04 17:23:30,0.071s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 17:23:30,2018-05-04 17:23:32,2.000s,PASSED
Statement - alert2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAlertText(),Chrome 66.0.3359.139,,2018-05-04 17:23:32,2018-05-04 17:23:32,0.009s,PASSED
verifyMatch,Chrome 66.0.3359.139,alert sms\uBC1C\uC1A1 \uBA54\uC138\uC9C0 \uD655\uC778,2018-05-04 17:23:32,2018-05-04 17:23:32,0.001s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 17:23:32,2018-05-04 17:23:32,0.019s,PASSED
