Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 65.0.3325.181,,2018-03-26 17:11:30,2018-03-26 17:12:03,32.991s,FAILED
,,,,,,
Test Cases/login,Chrome 65.0.3325.181,,2018-03-26 17:11:31,2018-03-26 17:11:44,13.472s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-03-26 17:11:31,2018-03-26 17:11:44,12.353s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:11:44,2018-03-26 17:11:44,0.294s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:11:44,2018-03-26 17:11:44,0.166s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:11:44,2018-03-26 17:11:44,0.134s,PASSED
,,,,,,
Test Cases/base,Chrome 65.0.3325.181,,2018-03-26 17:11:44,2018-03-26 17:11:59,14.662s,FAILED
click,Chrome 65.0.3325.181,,2018-03-26 17:11:44,2018-03-26 17:11:53,8.498s,PASSED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:11:53,2018-03-26 17:11:54,0.799s,FAILED
acceptAlert,Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:54,0.282s,FAILED
Statement - For (def index : (0..-1)),Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:54,0.017s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:54,0.168s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:54,0.178s,PASSED
setText,Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:54,0.111s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:11:54,2018-03-26 17:11:55,0.161s,PASSED
waitForElementNotPresent,Chrome 65.0.3325.181,,2018-03-26 17:11:55,2018-03-26 17:11:59,4.246s,PASSED
verifyEqual,Chrome 65.0.3325.181,,2018-03-26 17:11:59,2018-03-26 17:11:59,0.036s,PASSED
,,,,,,
Test Cases/goods,Chrome 65.0.3325.181,,2018-03-26 17:11:59,2018-03-26 17:12:02,3.478s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:11:59,2018-03-26 17:12:00,1.008s,PASSED
click,Chrome 65.0.3325.181,,2018-03-26 17:12:00,2018-03-26 17:12:02,2.328s,PASSED
