Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
login,Chrome 66.0.3359.139,,2018-05-04 16:12:33,2018-05-04 16:12:59,25.947s,PASSED
,,,,,,
Test Cases/login/login_invalid_logout,Chrome 66.0.3359.139,,2018-05-04 16:12:34,2018-05-04 16:12:56,22.664s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-04 16:12:34,2018-05-04 16:12:48,13.489s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:12:48,2018-05-04 16:12:48,0.536s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:12:48,2018-05-04 16:12:48,0.188s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uD2C0\uB9BC \uC785\uB825\r\n,2018-05-04 16:12:48,2018-05-04 16:12:48,0.118s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:12:48,2018-05-04 16:12:48,0.079s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:12:48,2018-05-04 16:12:50,2.026s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:12:50,2018-05-04 16:12:50,0.031s,PASSED
setText,Chrome 66.0.3359.139,ID\uC785\uB825\r\n,2018-05-04 16:12:50,2018-05-04 16:12:51,0.078s,PASSED
setText,Chrome 66.0.3359.139,\uBE44\uBC00\uBC88\uD638 \uC785\uB825\r\n,2018-05-04 16:12:51,2018-05-04 16:12:51,0.091s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:12:51,2018-05-04 16:12:51,0.043s,PASSED
click,Chrome 66.0.3359.139,\uB85C\uADF8\uC544\uC6C3 \uD074\uB9AD\r\n,2018-05-04 16:12:51,2018-05-04 16:12:53,2.281s,PASSED
delay,Chrome 66.0.3359.139,,2018-05-04 16:12:53,2018-05-04 16:12:55,2.003s,PASSED
acceptAlert,Chrome 66.0.3359.139,,2018-05-04 16:12:55,2018-05-04 16:12:55,0.016s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:12:55,2018-05-04 16:12:56,1.376s,PASSED
,,,,,,
"Test Cases/login/login_ID, PW search",Chrome 66.0.3359.139,,2018-05-04 16:12:56,2018-05-04 16:12:59,2.253s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-04 16:12:57,2018-05-04 16:12:57,0.640s,PASSED
click,Chrome 66.0.3359.139,,2018-05-04 16:12:57,2018-05-04 16:12:58,0.729s,PASSED
click,Chrome 66.0.3359.139,\uC544\uC774\uB514 \uCC3E\uAE30,2018-05-04 16:12:58,2018-05-04 16:12:58,0.416s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uB984\uC785\uB825,2018-05-04 16:12:58,2018-05-04 16:12:58,0.091s,PASSED
setText,Chrome 66.0.3359.139,\uC774\uBA54\uC77C \uC785\uB825,2018-05-04 16:12:58,2018-05-04 16:12:59,0.115s,PASSED
verifyTextPresent,Chrome 66.0.3359.139,ID hwanta \uD655\uC778,2018-05-04 16:12:59,2018-05-04 16:12:59,0.086s,PASSED
