Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 17:45:00,2018-03-09 17:45:23,22.965s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 17:45:01,2018-03-09 17:45:12,11.570s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 17:45:01,2018-03-09 17:45:11,10.034s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 17:45:11,2018-03-09 17:45:12,0.686s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 17:45:12,2018-03-09 17:45:12,0.289s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:12,2018-03-09 17:45:12,0.180s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 17:45:12,2018-03-09 17:45:21,9.186s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:12,2018-03-09 17:45:20,7.405s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 17:45:20,2018-03-09 17:45:20,0.561s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 17:45:20,2018-03-09 17:45:21,0.256s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 17:45:21,2018-03-09 17:45:21,0.170s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:21,2018-03-09 17:45:21,0.194s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:21,2018-03-09 17:45:21,0.431s,FAILED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 17:45:21,2018-03-09 17:45:22,0.886s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:22,2018-03-09 17:45:22,0.349s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 17:45:22,2018-03-09 17:45:22,0.376s,FAILED
