Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,,,2018-03-09 16:35:56,2018-03-09 16:36:01,5.780s,FAILED
,,,,,,
Test Cases/login,,,2018-03-09 16:35:56,2018-03-09 16:35:59,3.499s,FAILED
openBrowser,,,2018-03-09 16:35:57,2018-03-09 16:35:59,2.777s,FAILED
setText,,,2018-03-09 16:35:59,2018-03-09 16:35:59,0.026s,FAILED
setText,,,2018-03-09 16:35:59,2018-03-09 16:35:59,0.007s,FAILED
click,,,2018-03-09 16:35:59,2018-03-09 16:35:59,0.016s,FAILED
,,,,,,
Test Cases/base,,,2018-03-09 16:35:59,2018-03-09 16:36:00,0.498s,FAILED
click,,,2018-03-09 16:36:00,2018-03-09 16:36:00,0.039s,FAILED
setText,,,2018-03-09 16:36:00,2018-03-09 16:36:00,0.017s,FAILED
setText,,,2018-03-09 16:36:00,2018-03-09 16:36:00,0.022s,FAILED
setText,,,2018-03-09 16:36:00,2018-03-09 16:36:00,0.053s,FAILED
click,,,2018-03-09 16:36:00,2018-03-09 16:36:00,0.010s,FAILED
,,,,,,
Test Cases/goods,,,2018-03-09 16:36:00,2018-03-09 16:36:01,0.615s,FAILED
click,,,2018-03-09 16:36:01,2018-03-09 16:36:01,0.009s,FAILED
click,,,2018-03-09 16:36:01,2018-03-09 16:36:01,0.005s,FAILED
