Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:37:30,2018-03-09 16:37:51,20.483s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 16:37:30,2018-03-09 16:37:42,11.459s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:37:31,2018-03-09 16:37:41,10.182s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:37:41,2018-03-09 16:37:41,0.328s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:37:41,2018-03-09 16:37:42,0.251s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:37:42,2018-03-09 16:37:42,0.243s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 16:37:42,2018-03-09 16:37:49,6.965s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:37:42,2018-03-09 16:37:48,5.927s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:37:48,2018-03-09 16:37:48,0.330s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:37:48,2018-03-09 16:37:49,0.222s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:37:49,2018-03-09 16:37:49,0.174s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:37:49,2018-03-09 16:37:49,0.141s,PASSED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 16:37:49,2018-03-09 16:37:50,0.919s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:37:49,2018-03-09 16:37:49,0.443s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:37:49,2018-03-09 16:37:50,0.327s,FAILED
