Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 16:30:10,2018-03-09 16:30:31,21.312s,FAILED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 16:30:10,2018-03-09 16:30:31,20.940s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 16:30:11,2018-03-09 16:30:11,0.531s,FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 16:30:11,2018-03-09 16:30:16,5.007s,PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-09 16:30:16,2018-03-09 16:30:19,2.639s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:30:19,2018-03-09 16:30:19,0.161s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 16:30:19,2018-03-09 16:30:19,0.155s,PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-09 16:30:19,2018-03-09 16:30:19,0.099s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:30:19,2018-03-09 16:30:26,6.502s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:30:26,2018-03-09 16:30:28,2.341s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:30:28,2018-03-09 16:30:30,2.236s,PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-09 16:30:30,2018-03-09 16:30:31,0.779s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 16:30:31,2018-03-09 16:30:31,0.018s,FAILED
