Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 63.0.3239.132,,2018-02-08 17:31:17,2018-02-08 17:31:38,21.170s,PASSED
,,,,,,
Test Cases/login,Chrome 63.0.3239.132,,2018-02-08 17:31:18,2018-02-08 17:31:30,12.106s,PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-08 17:31:18,2018-02-08 17:31:29,10.627s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:31:29,2018-02-08 17:31:29,0.536s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:31:29,2018-02-08 17:31:30,0.291s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:31:30,2018-02-08 17:31:30,0.281s,PASSED
,,,,,,
Test Cases/base,Chrome 63.0.3239.132,,2018-02-08 17:31:30,2018-02-08 17:31:37,7.467s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:31:30,2018-02-08 17:31:37,6.355s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:31:37,2018-02-08 17:31:37,0.373s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:31:37,2018-02-08 17:31:37,0.250s,PASSED
setText,Chrome 63.0.3239.132,,2018-02-08 17:31:37,2018-02-08 17:31:37,0.136s,PASSED
click,Chrome 63.0.3239.132,,2018-02-08 17:31:37,2018-02-08 17:31:37,0.140s,PASSED
