Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
admin P1,Chrome 64.0.3282.186,,2018-03-09 15:41:55,2018-03-09 15:42:25,30.309s,FAILED
,,,,,,
Test Cases/login,Chrome 64.0.3282.186,,2018-03-09 15:41:55,2018-03-09 15:42:14,18.314s,PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-09 15:41:56,2018-03-09 15:42:12,16.538s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 15:42:12,2018-03-09 15:42:13,0.388s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 15:42:13,2018-03-09 15:42:13,0.462s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 15:42:13,2018-03-09 15:42:14,0.367s,PASSED
,,,,,,
Test Cases/base,Chrome 64.0.3282.186,,2018-03-09 15:42:14,2018-03-09 15:42:23,9.128s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 15:42:14,2018-03-09 15:42:22,7.661s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 15:42:22,2018-03-09 15:42:22,0.501s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 15:42:22,2018-03-09 15:42:22,0.286s,PASSED
setText,Chrome 64.0.3282.186,,2018-03-09 15:42:22,2018-03-09 15:42:23,0.251s,PASSED
click,Chrome 64.0.3282.186,,2018-03-09 15:42:23,2018-03-09 15:42:23,0.191s,PASSED
,,,,,,
Test Cases/goods,Chrome 64.0.3282.186,,2018-03-09 15:42:23,2018-03-09 15:42:24,1.265s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 15:42:23,2018-03-09 15:42:24,0.607s,FAILED
click,Chrome 64.0.3282.186,,2018-03-09 15:42:24,2018-03-09 15:42:24,0.420s,FAILED
